ts,device_id,value
2025-09-10 10:30:02.353842+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.1
2025-09-10 11:00:02.229424+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.0
2025-09-10 11:30:02.106078+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.2
2025-09-10 12:00:02.068807+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.6
2025-09-10 12:30:02.076352+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-10 13:00:02.003781+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-10 13:30:01.879102+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-10 14:00:02.246456+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.1
2025-09-10 14:30:01.653994+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-10 15:00:02.100640+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-10 15:30:01.655292+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-10 16:00:02.427122+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-10 16:30:02.204354+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-10 17:00:02.561822+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-10 17:30:02.269077+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-10 18:00:02.635321+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-10 18:30:02.542726+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-10 19:00:01.966153+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.9
2025-09-10 19:30:02.149791+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
2025-09-10 20:00:02.302390+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.8
